"Ejercicio","Nombre de la persona física/ Razón social","Nombre del representante de la empresa","Direccion","Colonia","Delegación","Código postal","Dirección electrónica de la página web","Teléfono oficial","Correo electrónico"
2015,"HC LINEAS DE DISEÑO S.A. DE C.V. ","LAURA PAOLA COTRIA","AHORRO POPULAR no12, B1","MÉXICO NUEVO","NAUCALPAN",52966,,"1668-1370","maderaymetal@me.com"
2015,"CORPORACIÓN MEXICANA DE IMPRESIÓN S.A. DE C.V.","ZENÓN RODRIGO MÉNDEZ HERNÁNDEZ","GENERAL VICTORIANO ZEPEDA  no22, X","OBSERVATORIO","MIGUEL HIDALGO",11860,,"5515 4024 Y 5516 8586   ","preprensa2007@hotmail.com"
2015,"BIMBO S.A. DE C.V.","A. EDUARDO DORANTES  SÁNCHEZ","MIMOSAS no117, X","SANTA MARÍA INSURGENTES","CUAUHTEÉMOC",6430,,"5268-8600","agusti.dorantes@grupobimbo.com"
2015,"SERVICIO DE ABASTO INSTITUCIONAL S.A. DE C.V.","LIBORIO JAVIER GUZMÁN GUTIÉRREZ","FRESNO no8, X","COCOTITLAN","EDO. MEX.",56680,,"55-5982-0272",
2015,"ACUÑACIÓN ARTISTICA EMBLEMATICA S.A. DE C.V.","DANIEL GERARDO SOTO BACA","ELVIRA no36, X","NATIVITAS","BENITO JUAREZ",3500,,"5696-1190     5579-8388","aemblematcica@prodigy.net.mx"
2015,"CORPORATIVO CALIDAD MEXICANA CERTIFICADA CALMECAC S.G.","JAIME AGUILAR TOVAR","BOULEVARD MANUEL AVILA CAMACHO no1903, 600A","CUIUDAD SATELITE","EDO. MEX.",53100,,"55-5566-0746",
2015,"FERRETERÍA Y PAPELERÍA LOS REYES S.A. DE C.V.","DAVID AVILES PASARAN","PONIENTE no18, MZ.112 LT14","SAN MIGUEL XICO","TLAHUAC",56613,,"55-5522-9309",
2015,"IDEAS Y SOLUCIONES GUIDO, S.A. DE C.V.","RAÚL HERNÁNDEZ GUIDO","NORTE 54 A no3819, X","EMILIANO ZAPATA","GUSTAVO A. MADERO",7889,,"55-37-00-78","s-armenta@hotmail.com"
2015,"MEDIS HOUSE TECNOLOGY S.A. DE C.V.","CARLO MAGNO RAMÍREZ  VELÁZQUEZ","REPUBLICA DE URUGUAY no15, LOCAL ""A""","CENTRO","CUAHUTÉMOC",6000,,"55-2498-2387","carlo@medishouse.com"
2015,"HD-LATINOAMERICA S.A. DE C.V.","FAUSTO ESCOBAR SANCHEZ","MONTESITO no38, 14 PISO","NÁPOLES","BENITO JUÁREZ",3180,,"55-2455-5524",
2015,"ISLA KREAT!VA","LUIS ISRAEL RABADAN SANTOS"," RANCHO SAN MATEO no79, X","SANTA CECILIA COAPA","COYOACAN",4930,,"1793-5248","israel@islakreativa.com.mx"
2015,"IN-KEY TRADE MEXICO, S.A. DE C. V. ","RAFAEL MENESES CARRO","PASO DE LA NIEVE no107, X","AMPLIACIÓN MEXICANA","ALVARO OBREGON",1260,,"55 8502-6429","inkeytrademex@yahoo.com"
2015,"FUMIGACIONES Y LIMPIEZA INTEGRAL, S.A. DE C.V.","FEDERICO ALENDRO ALBERT TRUBY","PETÉN no17, X","NARVARTE","BENITO JUÁREZ",3010,,"30-95-13-01","umisa_limpieza@hotmail.com"
2015,"GRUPO CORPORATIVO KRI-DAF S.A. DE C.V.","PATRICIA SALAZAR ALVA","SIMÓN AUDENARD no158, X","AVIACIÓN CIVIL","VENUSTIANO CARRANZA",15740,,"26-17-22-92","gckridaf@hotmail.com"
2015,"JARLUMI CONSTRUCTORA S.A. DE C.V.","RENÉ RAMÍREZ  ZÚÑIGA","BULEVARD CUAHTÉMOC no24, X","CHALCO DE DIAZ COVARRUVIAS","ESTADO DE MÉXICO",56600,,"55-84-26-02","jarlumiconstructora@hotmail.com"
2015,"PAPELERA SAN GERÓNIMO, S.A. DE C.V.","ANDREI JESÚS SALINAS GARCÍA","SAN GERÓNIMO no106, 202","CENTRO","CUAUHTÉMOC",6010,,"(55) 55-42-13-80 EXT. 16","papeleriassangeronimo@hotmail.com"
2015,"MAJUSA S.A. DE C.V.","SANDRA MORGADO BELTRAN","CLAVEL noMZ. 11. LT 6, X","RINCONADA CAMPESTRE","QUERETARO",76903,,"4444-318 Y 375-5307","majusa.ventas@gmail.com"
2015,"NOBURU INTERNACIONAL S.A. DE C,V,","MARIO ADRIAN GONZÁLEZ ESCALANTE","CONVENTO DE SANTA ISABEL no2, PISO 3","JARDINES DE SANTA MONICA","TLALNEPANTLA DE BAZ",54050,,"53-61-72-90","mgonzalez@noburuint.com"
2015,"PARK AUTO S.A. DE. C.V.","MARÍA DE JESUS  MOLINA SALINAS","HAMBURGO no70, 202","JUÁREZ","CUAUHTEMOC",6600,,"55-57-81-04-93","c.alejo@estacionamientoscorsa.com"
2015,"PROFESIONALES EN ELECTROMECANICA CLIMATIZACIÓN Y SERVICIO DE MANTENIMIENTO, GRUPO XERIOUS S.A. DE C.V.","MARIA FLORA BERMUDEZ LÓPEZ"," AVENIDA TEXCOCO  no1268, MANZANA E, EDIFICIO 17 C 20, DEPARTAMENTO 302, X","SANTA MARTHA ACATITLA","IZTAPALAPA",9510,,"5733 4144 55-1552-4521","legazpi77@hotmail.com"
2015,"SERVICIOS ORGANIZADOS SISTEMA 2000, S.A. DE C.V.","JOSÉ FEDERICO MÁXIMO HERNÁNDEZ HERNÁNDEZ","SOR JUANA INÉS DE LA CRUZ no96, PB","STA MA. LA RIVERA","CUAUHTÉMOC",6400,,"55-41-89-60","sos2000sa@hotmail.com"
2015,"UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO","JOSÉ LUIS  GUEMES FIGUEROA","AV. UNIVERSIDAD no3000, X","UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO, C.U.","COYOACAN",4510,,"56-16-02-17","grupo_crecer@hotmail.com"
2015,"COMPAÑÍA MEXICANA DE TRASLADO DE VALORES, S.A. DE C.V.","GERARDO ORDOÑES CASTILLO","IXNAHUALTONGO no129, X","LORENZO BOTURINI","VENUSTIANO CARRANZA",15820,"www.cometra.com.mx","5764-9999 y 5764-9800",
2015,"SOPROSER, S.A. DE C.V.","SARA ARMENTA  RODRIGUEZ","VALLE FERTIL no179, X","VALLE DE ARAGÓN SEGUNDA SECCIÓN","NEZAHUALCOYOTL EDO MEX.","X",,"5517-7356","s-armenta@hotmail.com"
2015,"SERVICIOS INTEGRALES EN MANTENIMIENTO S.A. DE C.V.","JOSÉ DANIEL FLORES CALDERÓN","PERÚ noMANZANA 68, LOTE 3, X","JARDINES DEL CERRO GORDO","ECATEPEC, ESTADO DE MÉXICO",55100,,"57-76-23-33","simasadecv@yahoo.com.mx"
2015,"CONSTRUCTORA Y SUPERVISIÓN DEL AJUSCO S.A. DE C.V.","JUAN CARLOS VARAS GALEANA","LAGO ALBERTO no320, INT. A08","ANAHUAC 1 SECCIÓN","MIGUEL HIDALGO",11320,,"5029 6485","contactosa1@gmail.com"
2015,"GRUPO JALVA S.A. DE C.V.","JUAN ALBERTO ALOR VAZQUEZ","LAZARO CARDENAS no503, X","CENTRO","COATZACOALCOS VERACRUZ",96400,"grupojalv@gmail.com","(921) 112-7146",
2015,"CONSTRUCTORA E INMOBILIARIA JAARA S.A. DE C.V.","RICARDO MARTÍNEZ FIGUEROA","CDA. DE REFORMA  no142, X","TLACOPAC SAN ANGEL","ALVARO OBREGON",4040,,"5741-7805 y 5661-7078","ricardo.martinez@laara.com.mx"
2015,"GRUPO PROFESIONAL EN EQUIPO DE COMPUTO S.A. DE C.V.","ALFONSO HERNÁNDEZ HERNÁNDEZ","ORIZABA no2, X","ROMA","CUAHUTÉMOC",6700,,"5564-5479, 5574-9489, 5264-5839","grupec@grupec.com.mx"
2015,"FUMIGACIONES Y LIMPIEZA INTEGRAL, S.A. DE C.V.","FEDERICO ALENDRO ALBERT TRUBY","PETÉN no17, X","NARVARTE","BENITO JUÁREZ",3010,,"30-95-13-01","umisa_limpieza@hotmail.com"
