Code,Name,Description,URL,Category,Public-database
MX-CEJUR,Consejería Jurídica y de Servicios Legales,Consejería Jurídica y de Servicios Legales,http://www.consejeria.df.gob.mx/,MX,
MX-CGDF,Contraloría General del Distrito Federal,Contraloría General del Distrito Federal,http://www.contraloria.df.gob.mx,MX,
MX-JGDF,Jefatura de Gobierno del Distrito Federal,Jefatura de Gobierno del Distrito Federal,http://www.df.gob.mx,MX,
MX-OM,Oficialía Mayor,Oficialía Mayor,http://www.om.df.gob.mx,MX,
MX-PGJDF,Procuraduría General de Justicia del Distrito Federal,Procuraduría General de Justicia del Distrito Federal,http://www.pgjdf.gob.mx,MX,
MX-SCTIDF,"Secretaría de Ciencia ,Tecnología e Innovación del Distrito Federal","Secretaría de Ciencia ,Tecnología e Innovación del Distrito Federal",http://www.seciti.df.gob.mx,MX,
MX-SC,Secretaría de Cultura,Secretaría de Cultura,http://www.cultura.df.gob.mx,MX,
MX-SDE,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,http://www.sedecodf.gob.mx,MX,
MX-SEDEREC,Secretaría de Desarrollo Rural y Equidad para las Comunidades,Secretaría de Desarrollo Rural y Equidad para las Comunidades,http://www.sederec.df.gob.mx,MX,
MX-SDS,Secretaría de Desarrollo Social,Secretaría de Desarrollo Social,http://www.sds.df.gob.mx,MX,
MX-SEDUVI,Secretaría de Desarrollo Urbano y Vivienda,Secretaría de Desarrollo Urbano y Vivienda,http://www.seduvi.df.gob.mx,MX,
MX-SE,Secretaría de Educación,Secretaría de Educación,http://www.educacion.df.gob.mx,MX,
MX-SEFIN,Secretaría de Finanzas,Secretaría de Finanzas,http://www.finanzas.df.gob.mx,MX,
MX-SEGOB,Secretaría de Gobierno,Secretaría de Gobierno,http://www.sg.df.gob.mx,MX,
MX-SEMOVI,Secretaría de Movilidad,Secretaría de Movilidad,http://www.setravi.df.gob.mx,MX,
MX-SOS,Secretaría de Obras y Servicios,Secretaría de Obras y Servicios,http://www.obras.df.gob.mx,MX,
MX-SPC,Secretaría de Protección Civil,Secretaría de Protección Civil,http://www.proteccioncivil.df.gob.mx,MX,
MX-SS,Secretaría de Salud,Secretaría de Salud,http://www.salud.df.gob.mx,MX,
MX-SSP,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,http://portal.ssp.df.gob.mx,MX,
MX-STYFE,Secretaría de Trabajo y Fomento al Empleo,Secretaría de Trabajo y Fomento al Empleo,http://www.styfe.df.gob.mx,MX,
MX-ST,Secretaría de Turismo,Secretaría de Turismo,http://www.mexicocity.gob.mx,MX,
MX-SMA,Secretaría del Medio Ambiente,Secretaría del Medio Ambiente,http://www.sedema.df.gob.mx,MX,
